id,subject_id,task,trial_session,trial,label
1,S1,MI,1,1,Left
2,S1,MI,1,2,Right
3,S1,MI,1,3,Left
4,S1,MI,1,4,Left
5,S1,MI,1,5,Left
6,S1,MI,1,6,Right
7,S1,MI,1,7,Right
8,S1,MI,1,8,Left
9,S1,MI,1,9,Left
10,S1,MI,1,10,Right
11,S1,MI,2,1,Left
12,S1,MI,2,2,Right
13,S1,MI,2,3,Left
14,S1,MI,2,4,Left
15,S1,MI,2,5,Left
16,S1,MI,2,6,Right
17,S1,MI,2,7,Right
18,S1,MI,2,8,Left
19,S1,MI,2,9,Right
20,S1,MI,2,10,Left
21,S1,MI,3,1,Right
22,S1,MI,3,2,Left
23,S1,MI,3,3,Left
24,S1,MI,3,4,Left
25,S1,MI,3,5,Left
26,S1,MI,3,6,Right
27,S1,MI,3,7,Right
28,S1,MI,3,8,Right
29,S1,MI,3,9,Left
30,S1,MI,3,10,Right
31,S1,MI,4,1,Left
32,S1,MI,4,2,Left
33,S1,MI,4,3,Left
34,S1,MI,4,4,Right
35,S1,MI,4,5,Left
36,S1,MI,4,6,Right
37,S1,MI,4,7,Right
38,S1,MI,4,8,Left
39,S1,MI,4,9,Right
40,S1,MI,4,10,Left
41,S1,MI,5,1,Left
42,S1,MI,5,2,Left
43,S1,MI,5,3,Left
44,S1,MI,5,4,Right
45,S1,MI,5,5,Left
46,S1,MI,5,6,Left
47,S1,MI,5,7,Right
48,S1,MI,5,8,Right
49,S1,MI,5,9,Right
50,S1,MI,5,10,Right
51,S1,MI,6,1,Right
52,S1,MI,6,2,Right
53,S1,MI,6,3,Right
54,S1,MI,6,4,Left
55,S1,MI,6,5,Right
56,S1,MI,6,6,Right
57,S1,MI,6,7,Right
58,S1,MI,6,8,Left
59,S1,MI,6,9,Left
60,S1,MI,6,10,Right
61,S1,MI,7,1,Left
62,S1,MI,7,2,Left
63,S1,MI,7,3,Left
64,S1,MI,7,4,Left
65,S1,MI,7,5,Left
66,S1,MI,7,6,Right
67,S1,MI,7,7,Right
68,S1,MI,7,8,Left
69,S1,MI,7,9,Left
70,S1,MI,7,10,Left
71,S1,MI,8,1,Right
72,S1,MI,8,2,Right
73,S1,MI,8,3,Right
74,S1,MI,8,4,Right
75,S1,MI,8,5,Left
76,S1,MI,8,6,Left
77,S1,MI,8,7,Left
78,S1,MI,8,8,Right
79,S1,MI,8,9,Right
80,S1,MI,8,10,Left
81,S2,MI,1,1,Right
82,S2,MI,1,2,Left
83,S2,MI,1,3,Left
84,S2,MI,1,4,Left
85,S2,MI,1,5,Right
86,S2,MI,1,6,Right
87,S2,MI,1,7,Left
88,S2,MI,1,8,Right
89,S2,MI,1,9,Right
90,S2,MI,1,10,Right
91,S2,MI,2,1,Left
92,S2,MI,2,2,Left
93,S2,MI,2,3,Right
94,S2,MI,2,4,Right
95,S2,MI,2,5,Right
96,S2,MI,2,6,Right
97,S2,MI,2,7,Left
98,S2,MI,2,8,Left
99,S2,MI,2,9,Right
100,S2,MI,2,10,Left
101,S2,MI,3,1,Left
102,S2,MI,3,2,Right
103,S2,MI,3,3,Left
104,S2,MI,3,4,Right
105,S2,MI,3,5,Left
106,S2,MI,3,6,Left
107,S2,MI,3,7,Right
108,S2,MI,3,8,Left
109,S2,MI,3,9,Right
110,S2,MI,3,10,Right
111,S2,MI,4,1,Left
112,S2,MI,4,2,Left
113,S2,MI,4,3,Right
114,S2,MI,4,4,Left
115,S2,MI,4,5,Left
116,S2,MI,4,6,Left
117,S2,MI,4,7,Left
118,S2,MI,4,8,Right
119,S2,MI,4,9,Left
120,S2,MI,4,10,Left
121,S2,MI,5,1,Left
122,S2,MI,5,2,Right
123,S2,MI,5,3,Left
124,S2,MI,5,4,Left
125,S2,MI,5,5,Left
126,S2,MI,5,6,Left
127,S2,MI,5,7,Right
128,S2,MI,5,8,Right
129,S2,MI,5,9,Right
130,S2,MI,5,10,Left
131,S2,MI,6,1,Right
132,S2,MI,6,2,Left
133,S2,MI,6,3,Right
134,S2,MI,6,4,Left
135,S2,MI,6,5,Left
136,S2,MI,6,6,Right
137,S2,MI,6,7,Right
138,S2,MI,6,8,Right
139,S2,MI,6,9,Left
140,S2,MI,6,10,Right
141,S2,MI,7,1,Left
142,S2,MI,7,2,Right
143,S2,MI,7,3,Right
144,S2,MI,7,4,Right
145,S2,MI,7,5,Right
146,S2,MI,7,6,Left
147,S2,MI,7,7,Left
148,S2,MI,7,8,Right
149,S2,MI,7,9,Right
150,S2,MI,7,10,Right
151,S2,MI,8,1,Right
152,S2,MI,8,2,Left
153,S2,MI,8,3,Right
154,S2,MI,8,4,Right
155,S2,MI,8,5,Left
156,S2,MI,8,6,Left
157,S2,MI,8,7,Left
158,S2,MI,8,8,Left
159,S2,MI,8,9,Left
160,S2,MI,8,10,Right
161,S3,MI,1,1,Left
162,S3,MI,1,2,Left
163,S3,MI,1,3,Right
164,S3,MI,1,4,Left
165,S3,MI,1,5,Right
166,S3,MI,1,6,Left
167,S3,MI,1,7,Right
168,S3,MI,1,8,Right
169,S3,MI,1,9,Right
170,S3,MI,1,10,Left
171,S3,MI,2,1,Left
172,S3,MI,2,2,Left
173,S3,MI,2,3,Left
174,S3,MI,2,4,Right
175,S3,MI,2,5,Left
176,S3,MI,2,6,Left
177,S3,MI,2,7,Right
178,S3,MI,2,8,Right
179,S3,MI,2,9,Right
180,S3,MI,2,10,Left
181,S3,MI,3,1,Left
182,S3,MI,3,2,Left
183,S3,MI,3,3,Right
184,S3,MI,3,4,Left
185,S3,MI,3,5,Left
186,S3,MI,3,6,Right
187,S3,MI,3,7,Left
188,S3,MI,3,8,Left
189,S3,MI,3,9,Right
190,S3,MI,3,10,Right
191,S3,MI,4,1,Right
192,S3,MI,4,2,Right
193,S3,MI,4,3,Right
194,S3,MI,4,4,Left
195,S3,MI,4,5,Right
196,S3,MI,4,6,Right
197,S3,MI,4,7,Left
198,S3,MI,4,8,Left
199,S3,MI,4,9,Left
200,S3,MI,4,10,Right
201,S3,MI,5,1,Left
202,S3,MI,5,2,Right
203,S3,MI,5,3,Right
204,S3,MI,5,4,Right
205,S3,MI,5,5,Left
206,S3,MI,5,6,Left
207,S3,MI,5,7,Right
208,S3,MI,5,8,Left
209,S3,MI,5,9,Left
210,S3,MI,5,10,Left
211,S3,MI,6,1,Right
212,S3,MI,6,2,Left
